MUNICÍPIO ORIGEM,MUNICÍPIO DESTINO,DISTÂNCIA TOTAL (km)
São Paulo,São José dos Campos,89
São José dos Campos,Taubaté,41
Taubaté,Cachoeira Paulista,73
Cachoeira Paulista,Pombal,87
Pombal,Nova Iguaçu,106
Nova Iguaçu,Rio de Janeiro,39
Taubaté,Campos do Jordão,56
Campos do Jordão,Itajubá,55
Itajubá,Cachoeira Paulista,77
São Paulo,Campinas,95
Campinas,Pirassununga,115
Pirassununga,Ribeirão Preto,105
Ribeirão Preto,Uberaba,170
São Paulo,Mogi Guaçu,157
Mogi Guaçu,Pirassununga,83
Campinas,São Carlos,146
São Carlos,Ribeirão Preto,103
