"region","palmitic","palmitoleic","stearic","oleic","linoleic","linolenic","arachidic","eicosenoic"
"1","Southern Italy",14.38,1.72,2.52,66.3,13.8,0.4,0.64,0.24
"2","Southern Italy",12.48,1.07,3.13,72.99,8.4,0.46,0.66,0.33
"3","Southern Italy",12.98,0.99,3.11,73.11,7.87,0.45,0.67,0.23
"4","Northern Italy",11.6,0.9,2.2,75.8,7.9,0.4,0.9,0.01
"5","Southern Italy",12.83,1.53,1.96,71.07,11.15,0.37,0.6,0.28
"6","Northern Italy",10.85,0.6,1.88,79.55,6.02,0.3,0.5,0.02
"7","Northern Italy",10.58,0.5,1.78,79.88,6.26,0.4,0.55,0.03
"8","Northern Italy",9.9,0.9,2.1,77.8,9.3,0,0,0.02
"9","Sardinia",11.31,0.87,2.08,71.7,13.08,0.28,0.57,0.02
"10","Southern Italy",12.83,1.02,2.63,74,7.63,0.54,0.65,0.28
"11","Southern Italy",13.47,1.97,2.11,67.95,13,0.32,0.59,0.34
"12","Northern Italy",10.5,0.78,1.88,79.9,6.08,0.28,0.23,0.03
"13","Northern Italy",10.3,1,2.5,77.1,9,0,0.1,0.02
"14","Southern Italy",12.49,1.33,2.05,74.17,8.27,0.33,0.72,0.33
"15","Sardinia",10.76,0.77,2.02,72.43,13.05,0.29,0.67,0.01
"16","Northern Italy",11.1,0.75,2.2,79.15,5.1,0.55,0.65,0.02
"17","Southern Italy",14.63,1.83,1.83,67.47,13.07,0.36,0.6,0.24
"18","Southern Italy",13.46,1.81,2.57,71.47,9.33,0.4,0.6,0.36
"19","Southern Italy",16.38,2.52,2.15,65.7,11.99,0.39,0.53,0.29
"20","Southern Italy",15.27,2.6,2.32,64.88,13.7,0.31,0.45,0.2
"21","Southern Italy",13.83,1.57,2.17,70.18,10.9,0.4,0.6,0.37
"22","Southern Italy",14.6,1.87,2.15,68.43,11.72,0.35,0.56,0.32
"23","Sardinia",11.32,0.8,2.01,73.98,10.95,0.27,0.67,0.02
"24","Sardinia",11.06,0.93,2.12,73.81,11.04,0.35,0.68,0.01
"25","Southern Italy",13.17,1.97,2.56,70.36,10.67,0.4,0.6,0.22
"26","Southern Italy",12.96,1.36,2.6,73.8,7.8,0.48,0.51,0.18
"27","Southern Italy",14.13,1.91,1.86,69.37,11.8,0.31,0.46,0.13
"28","Northern Italy",12,0.5,2.1,77.7,6.9,0.2,0.5,0.03
"29","Southern Italy",11.09,0.79,3.05,75.76,7.63,0.45,0.64,0.36
"30","Southern Italy",14.09,1.28,2.57,72.57,7.59,0.43,0.57,0.16
"31","Southern Italy",12.55,1.03,2.23,73.95,8.48,0.47,0.56,0.3
